id_item_pk,cd_eca,cd_item,cd_genre_mat,li_genre_mat,no_fabricant,li_article,cd_taille,an_fabrication,dt_fin_garantie,an_renouv,marque,type_marque,sim,imei,cd_fourn,nom_fourn,cd_statut,li_statut,is_actif,dt_statut,is_indispo,is_bloque,cd_sdis,li_sdis,cd_oi,li_oi,dt_mise_dispo,id_item_det_fk,cd_eca_det,li_article_det,cd_item_det,plaques_det,tx_remarques_sdis,cd_lieu,li_lieu,tx_detail_lieu,is_prete,is_lieu_ctl,cd_lieu_sdis,li_lieu_sdis,lieu_sdis_info,last_refresh,cd_entrepot,li_entrepot,cd_zone,li_zone,cd_secteur,no_etagere,no_niveau,no_position,cd_emplacement,tx_remarques_empl,cd_proprietaire_fk,li_proprietaire,proprietaire,dt_achat,mn_prix,mn_prix_rpc41,cd_categ_prim_pgi,cd_categ_sec_pgi,dt_deb_amorti,nb_duree_amorti,cd_projet,li_projet,no_facture,is_trans_pgi,cd_tarif_fk,cd_categ_abc_fk,cd_categ_abc_sdis,tx_remarques,us_aud_creation,dt_aud_creation,dt_aud_modif,us_aud_modif
59926,18110063,059926,AUT,Matériel suivi autre,R52J20M1SQA,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673799,355755081807018,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132C1,Epalinges DPS,  /  /       :  :,56911,09860001,"Véhicule de transport de personnes, poids inf. à 6 T",217.638.756,VD 527717,,L-132-02,Epalinges,LOSA 380,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:44:21,17/12/2018 08:36:51,IMP
59927,18110063,059927,AUT,Matériel suivi autre,R52J20M1TRT,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673807,355755081807356,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,56767,09860001,"Véhicule de transport de personnes, poids inf. à 6 T",217.611.295,VD 526550,,L-132-01,Lausanne,LOSA 167,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:45:45,17/12/2018 08:36:51,IMP
59928,18110063,059928,AUT,Matériel suivi autre,R52J20M0BYT,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673815,355755081791246,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-609,Mèbre,609C1,Mont-sur-Lausanne DPS,15/05/2018 00:00:00,7470,09850003,Voiture chef d'intervention,214.060.279,VD 359586,,L-609-01,Mont-sur-Lausanne,CROMA 101,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:47:13,17/12/2018 08:36:51,IMP
59929,18110063,059929,AUT,Matériel suivi autre,R52J20M1G7N,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673393,355755081803546,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,11027,09530001,Véhicule d'extinction à lance perforante,216.260.521,VD   8160,,L-132-01,Lausanne,LOSA 120,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:48:35,17/12/2018 08:36:51,IMP
59930,18110063,059930,AUT,Matériel suivi autre,R52J20M062Z,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674052,355755081789307,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,11355,09900002,Véhicule porteur de Modules sur berce,418.514.036,VD 376443,,L-132-01,Lausanne,LOSA 141,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:50:20,17/12/2018 08:36:51,IMP
59931,18110063,059931,AUT,Matériel suivi autre,R52J20M0TPR,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673823,355755081796443,CODALI,Codalis SA,AC,Actif,1,08/12/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,08/12/2017 00:00:00,59766,09870001,Véhicule de traction 4x4,680.985.662,VD 607021,,L-132-01,Lausanne,"LOSA 160
VD 607021",0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:51:31,17/12/2018 08:36:52,IMP
59932,18110063,059932,AUT,Matériel suivi autre,R52J20M08YH,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673831,355755081790255,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,8381,09870001,Véhicule de traction 4x4,675.825.725,VD 348440,,L-132-01,Lausanne,LOSA 163,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:52:39,17/12/2018 08:36:52,IMP
59933,18110063,059933,AUT,Matériel suivi autre,R52J20M0BRY,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673849,355755081791188,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,16/06/2018 00:00:00,11371,09910001,Véhicule TPM,678.242.858,VD 582797,,L-132-01,Lausanne,LOSA 166,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:53:57,17/12/2018 08:36:52,IMP
59934,18110063,059934,AUT,Matériel suivi autre,R52J20M1WQF,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673856,355755081808008,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,,,,,28/08/2018 00:00:00,0,,,,,,L-888-51,Centre Technique et Logistique,LOSA 173,0,1,,,,  /  /       :  :,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:55:20,17/12/2018 08:36:52,IMP
59935,18110063,059935,AUT,Matériel suivi autre,R52J20M0VYM,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673864,355755081796856,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,8382,09870001,Véhicule de traction 4x4,675.825.701,VD 481629,,L-132-01,Lausanne,LOSA 164,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:56:53,17/12/2018 08:36:52,IMP
59936,18110063,059936,AUT,Matériel suivi autre,R52J20M1XRP,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673872,355755081808347,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,10838,09870001,Véhicule de traction 4x4,677.335.853,VD 348351,,L-132-01,Lausanne,LOSA 162,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 07:58:25,17/12/2018 08:36:52,IMP
59937,18110063,059937,AUT,Matériel suivi autre,R52J20M07GK,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674136,355755081789778,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,9863,09850003,Voiture chef d'intervention,215.709.474,VD  24281,,L-132-01,Lausanne,LOSA 101,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:01:21,17/12/2018 08:36:52,IMP
59938,18110063,059938,AUT,Matériel suivi autre,R52J20M063M,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673369,355755081789315,CODALI,Codalis SA,AC,Actif,1,13/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,13/07/2017 00:00:00,8446,09850003,Voiture chef d'intervention,213.209.954,VD  26834,,L-132-01,Lausanne,LOSA 104,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:02:51,17/12/2018 08:36:52,IMP
59939,18110063,059939,AUT,Matériel suivi autre,R52J20M07JD,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673880,355755081789794,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,58897,09930001,"Véhicule de transport matériel, poids inf. à 6 T",679.664.232,VD   9124,,L-132-01,Lausanne,LOSA 152,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:04:14,17/12/2018 08:36:52,IMP
59940,18110063,059940,AUT,Matériel suivi autre,R52HC0JMKAX,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673898,355755080392046,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132C1,Epalinges DPS,  /  /       :  :,11033,09870001,Véhicule de traction 4x4,677.777.679,VD 333403,,L-132-51,Vers-chez-les-Blancs (Matériel),LOSA  350,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:07:50,17/12/2018 08:36:52,IMP
59941,18110063,059941,AUT,Matériel suivi autre,R52HC0JML8N,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674037,355755080392350,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,14/07/2017 00:00:00,3558,09900001,Véhicule porteur de Modules normalisés,185.967.050,VD   7196,,L-132-01,Lausanne,LOSA 470,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:09:35,17/12/2018 08:36:52,IMP
59942,18110063,059942,AUT,Matériel suivi autre,R52HC0JLQDP,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673377,355755080382831,CODALI,Codalis SA,AC,Actif,1,13/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3571,09900001,Véhicule porteur de Modules normalisés,185.967.049,VD   9600,,L-132-01,Lausanne,LOSA 471,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:10:47,17/12/2018 08:36:52,IMP
59943,18110063,059943,AUT,Matériel suivi autre,R52HC0JLQ1W,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705674201,355755080382716,CODALI,Codalis SA,AC,Actif,1,14/07/2017 00:00:00,0,0,S-132,Lausanne - Epalinges,132I1,Lausanne UAPP,12/02/2019 00:00:00,3566,09900001,Véhicule porteur de Modules normalisés,185.992.603,VD   7587,,L-132-01,Lausanne,LOSA 474,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:13:34,12/02/2019 11:03:55,JCK
59944,18110063,059944,AUT,Matériel suivi autre,R52HC0JLMVA,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673906,355755080381999,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,7838,09850003,Voiture chef d'intervention,213.193.170,VD 152021,,L-132-01,Lausanne,LOSA 102,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:14:48,17/12/2018 08:36:52,IMP
59945,18110063,059945,AUT,Matériel suivi autre,R52HC0JMKCT,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410116308705673914,355755080392061,CODALI,Codalis SA,AC,Actif,1,  /  /       :  :,0,0,S-132,Lausanne - Epalinges,132H1,Lausanne DPS,  /  /       :  :,3368,09750005,Véhicule Transport d'organes,650.721.068,VD 363118,,L-132-01,Lausanne,LOSA 110,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:16:36,17/12/2018 08:36:52,IMP
59950,18110063,059950,AUT,Matériel suivi autre,R52HC0JLXRF,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410117100707766310,355755080384936,CODALI,Codalis SA,AC,Actif,1,08/02/2018 00:00:00,0,0,S-741,Riviera,741G1,Montreux DPS,  /  /       :  :,59271,09860001,"Véhicule de transport de personnes, poids inf. à 6 T",680.368.685,VD 114534,,L-741-01,Montreux,RIVIERA 984,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:23:13,17/12/2018 08:36:52,IMP
59951,18110063,059951,AUT,Matériel suivi autre,R52HC0JLQ4Y,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410117100707766328,355755080382740,CODALI,Codalis SA,AC,Actif,1,08/02/2018 00:00:00,0,0,S-741,Riviera,741G1,Montreux DPS,  /  /       :  :,56913,09870001,Véhicule de traction 4x4,680.011.072,VD 186378,,L-741-01,Montreux,RIVIERA 180,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:24:31,17/12/2018 08:36:52,IMP
59952,18110063,059952,AUT,Matériel suivi autre,R52HC0JML2J,"Tablette multimédia SAMSUNG Galaxy TAB A6 noire, écran 7 pouces, modèle LTE-SM-T285, mémoire 8GB, Android 5.1",,2017,  /  /       :  :,2022,Samsung,SM-T285,89410117100707766336,355755080392293,CODALI,Codalis SA,AC,Actif,1,08/02/2018 00:00:00,0,0,S-741,Riviera,741G1,Montreux DPS,  /  /       :  :,6841,09900002,Véhicule porteur de Modules sur berce,418.112.888,VD 558660,,L-741-01,Montreux,RIVIERA 140,0,0,,,,10/04/2019 01:00:06,,,,,,0,0,0,,,ECA,ECA,,  /  /       :  :,0.00,0.00,,,  /  /       :  :,0,,,,0,,,,,PR,04/04/2017 08:25:38,17/12/2018 08:36:52,IMP
